id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
1,2020,Jaipur,2020-03-25,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,field,normal,0,Delhi Capitals,0,9,Rohit Gaikwad,"Sawai Mansingh Stadium, Jaipur",Umpire 2,Umpire 9
2,2020,Lucknow,2020-03-27,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Umran Varma,"BRSABV Ekana Cricket Stadium, Lucknow",Umpire 7,Umpire 2
3,2020,Bengaluru,2020-03-29,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Gujarat Titans,0,4,Axar Reddy,"M. Chinnaswamy Stadium, Bengaluru",Umpire 8,Umpire 6
4,2020,Jaipur,2020-03-31,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,normal,0,Rajasthan Royals,0,5,Devdutt Kohli,"Sawai Mansingh Stadium, Jaipur",Umpire 2,Umpire 1
5,2020,Bengaluru,2020-04-02,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,25,0,Kuldeep Thakur,"M. Chinnaswamy Stadium, Bengaluru",Umpire 3,Umpire 8
6,2020,Jaipur,2020-04-04,Gujarat Titans,Punjab Kings,Punjab Kings,field,normal,0,Gujarat Titans,1,0,Avesh Sundar,"Sawai Mansingh Stadium, Jaipur",Umpire 7,Umpire 11
7,2020,Ahmedabad,2020-04-06,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Rohit Kohli,"Narendra Modi Stadium, Ahmedabad",Umpire 9,Umpire 7
8,2020,Bengaluru,2020-04-08,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,bat,normal,0,Lucknow Super Giants,15,0,Rohit Kishan,"M. Chinnaswamy Stadium, Bengaluru",Umpire 12,Umpire 5
9,2020,Delhi,2020-04-10,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,normal,0,Sunrisers Hyderabad,0,7,Umran Patel,"Arun Jaitley Stadium, Delhi",Umpire 2,Umpire 8
10,2020,Kolkata,2020-04-12,Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,normal,0,Chennai Super Kings,9,0,Rohit Kohli,"Eden Gardens, Kolkata",Umpire 2,Umpire 2
